# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
551,flight,n,名词,飞行
552,flood,n,名词,洪水；水灾
553,floor,n,名词,地面；地板；(楼房的)层
554,flower,n,名词,花
555,"fly (flew, flown)",v,动词,飞；飞行；乘飞机旅行
556,fog,n,名词,雾
557,follow,v,动词,听从
558,following,adj,形容词,下列的
559,fond,adj,形容词,喜爱的
560,food,n,名词,食物；食品
561,fool,n,名词,傻子
562,foolish,adj,形容词,愚蠢的；傻的
563,foot (pl. feet),n,名词,"脚, 足；英尺"
564,football,n,名词,足球
565,for,prep,介词,(表示方向)往；向
566,forecast,n,名词,v. 预报
567,foreign,adj,形容词,外国的
568,foreigner,n,名词,外国人
569,forest,n,名词,森林
570,forever,adv,副词,永远
571,"forget (forgot, forgot/forgotten)",v,动词,忘记；忘掉
572,forgetful,adj,形容词,健忘的
573,fork,n,名词,叉
574,form,n,名词,"形式, 方式"
575,forward,adv,副词,向前
576,fountain,n,名词,喷泉
577,fox,n,名词,狐狸
578,free,adj,形容词,自由的；空闲的；免费的
579,freedom,n,名词,自由
580,"freeze (froze, frozen)",v,动词,结冰
581,freezing,adj,形容词,冻结的；极冷的
582,French,adj,形容词,法国的；法语的
583,fresh,adj,形容词,新鲜的
584,Friday,n,名词,星期五
585,fridge,n,名词,冰箱
586,friend,n,名词,朋友
587,friendly,adj,形容词,朋友般的；友好的
588,friendship,n,名词,友谊
589,frighten,v,动词,使害怕
590,frightened,adj,形容词,受惊吓的
591,frightening,adj,形容词,恐怖的
592,from,prep,介词,1.(表示起点)从；自
593,front,n,名词,前部；前面；前线
594,frozen,adj,形容词,冰冻的
595,fruit,n,名词,水果；果实
596,fry,v,动词,油煎，油炸
597,fuel,n,名词,燃料
598,full,adj,形容词,满的
599,fun,n,名词,乐趣，趣事；玩笑
600,funny,adj,形容词,滑稽的；可笑的
601,furniture,n,名词,家具
602,future,n,名词,"将来, 未来"
603,gain,v,动词,得到，获得
604,game,n,名词,游戏；运动；比赛
605,garden,n,名词,花（果菜）园
606,gas,n,名词,气态；气体；煤气
607,gate,n,名词,大门
608,generally,adv,副词,一般地；普遍地
609,gentle,adj,形容词,温柔的
610,gentleman,n,名词,绅士；先生
611,gently,adv,副词,轻柔地
612,geography,n,名词,地理
613,German,n,名词,德国人；德语
614,"get (got, got/gotten)",v,动词,成为；变得;得到；到；
615,girl,n,名词,女孩
616,"give (gave, given)",v,动词,给；递给；付出
617,glad,adj,形容词,高兴的；乐意的
618,glass,n,名词,玻璃；玻璃杯；（pl.）眼镜
619,global,adj,形容词,全球的；球形的
620,glove,n,名词,手套
621,"go (went, gone)",v,动词,去；走；驶；通到；
622,goal,n,名词,目标
623,God,n,名词,上帝
624,gold,n,名词,金；黄金
625,golden,adj,形容词,金色的
626,"good (better, best)",adj,形容词,好；良好
627,goodbye (bye),int,感叹词,再见；再会
628,government,n,名词,政府
629,grade,n,名词,等级；（学校的）年级
630,graduate,n,名词,大学毕业生
631,grandfather,n,名词,(外)祖父
632,grandmother,n,名词,（ 外）祖母
633,grass,n,名词,草；草场；牧草
634,great,adj,形容词,伟大的；重要的；（口语）美妙的；好极的
635,green,n,名词,绿色；青色；
636,ground,n,名词,地面；土地；运动；
637,group,n,名词,群；小组
638,"grow (grew, grown)",v,动词,生长；发育；种植
639,guess,v,动词,猜测；推测
640,guest,n,名词,客人，宾客
641,guide,n,名词,指导；导游；指南
642,gun,n,名词,炮；枪
643,habit,n,名词,习惯
644,hair,n,名词,头发
645,half,n,名词,一半
646,hall,n,名词,大厅；礼堂
647,hamburger,n,名词,汉堡包
648,hand,n,名词,手
649,"hang (hung, hung)",v,动词,悬挂
650,happen,v,动词,（偶然）发生；碰巧
651,happily,adv,副词,幸福地；快乐地
652,happy,adj,形容词,幸福的；快乐的
653,harbour,n,名词,港口；港湾
654,hard,adj,形容词,硬的；困难的；艰难的
655,hardly,adv,副词,几乎不
656,hardworking,adj,形容词,勤劳的
657,harmful,adj,形容词,有害的
